STAND,PLOT,TREE,SP,DBH,HT,EXPF,X_Cord,Y_Cord
9,11,2800,BF,6.800000191,44.33593377,5,-68.76701095,46.83225653
9,11,3600,BF,6.099999905,41.950387,5,-68.76701095,46.83225653
9,11,5100,BF,7.099999905,45.32564009,5,-68.76701095,46.83225653
9,11,90500,BF,5.5,39.80977851,5,-68.76701095,46.83225653
9,11,93400,BF,5.099999905,38.32628232,5,-68.76701095,46.83225653
9,11,21700,BF,5.300000191,39.07407264,5,-68.76701095,46.83225653
9,11,99,BF,1,17.89800063,50,-68.76701095,46.83225653
9,11,99,BF,1,17.89800063,50,-68.76701095,46.83225653
9,11,99,BF,1,17.89800063,50,-68.76701095,46.83225653
9,11,99,BF,1,17.89800063,50,-68.76701095,46.83225653
9,11,3700,BF,5.400000095,39.44339556,5,-68.76701095,46.83225653
9,11,4000,BF,6.199999809,42.29815291,5,-68.76701095,46.83225653
9,11,99,BF,1,17.89800063,50,-68.76701095,46.83225653
9,11,99,BF,1,17.89800063,50,-68.76701095,46.83225653
9,11,99,BF,2,24.36821262,50,-68.76701095,46.83225653
9,11,99,BF,2,24.36821262,50,-68.76701095,46.83225653
9,11,3200,BF,5.199999809,38.7017282,5,-68.76701095,46.83225653
9,11,99,BF,3,29.5182474,20,-68.76701095,46.83225653
9,11,99,BF,3,29.5182474,20,-68.76701095,46.83225653
9,11,99,BF,4,33.96304328,20,-68.76701095,46.83225653
9,11,75000,WP,6.300000191,42.64350809,5,-68.76701095,46.83225653
9,11,84400,WP,4.800000191,37.18042884,5,-68.76701095,46.83225653
9,11,74900,WP,4.800000191,37.18042884,5,-68.76701095,46.83225653
9,11,84500,WP,6.400000095,42.98650388,5,-68.76701095,46.83225653
9,11,3000,RM,15.39999962,67.89856831,5,-68.76701095,46.83225653
9,11,53700,RM,15.39999962,67.89856831,5,-68.76701095,46.83225653
9,11,93800,RM,5.800000191,40.89203517,5,-68.76701095,46.83225653
9,11,43500,PB,10.19999981,54.66179559,5,-68.76701095,46.83225653
9,11,93600,OH,5.699999809,40.53402607,5,-68.76701095,46.83225653
9,11,94100,OH,6,41.6001519,5,-68.76701095,46.83225653
9,11,94000,OH,6.699999809,44.00186078,5,-68.76701095,46.83225653
9,11,55200,RS,12.10000038,59.77684467,5,-68.76701095,46.83225653
9,11,44600,RS,14,64.55511709,5,-68.76701095,46.83225653
9,11,74700,RS,11.60000038,58.46661129,5,-68.76701095,46.83225653
9,11,99,RS,2,24.36821262,50,-68.76701095,46.83225653
9,11,20800,RS,15.69999981,68.59769469,5,-68.76701095,46.83225653
9,11,22800,RS,17.39999962,72.45528198,5,-68.76701095,46.83225653
9,11,34200,RS,11,56.86170724,5,-68.76701095,46.83225653
9,11,99,EH,1,17.89800063,50,-68.76701095,46.83225653
9,11,99,EH,1,17.89800063,50,-68.76701095,46.83225653
9,11,72100,EH,10.80000019,56.31838929,5,-68.76701095,46.83225653
9,11,73700,EH,17,71.56281055,5,-68.76701095,46.83225653
9,11,73800,EH,19.29999924,76.57884073,5,-68.76701095,46.83225653
9,11,94400,EH,11.19999981,57.40077847,5,-68.76701095,46.83225653
9,11,14100,EH,12,59.51669438,5,-68.76701095,46.83225653
9,11,33000,EH,14.30000019,65.28329766,5,-68.76701095,46.83225653
9,11,33700,EH,12.80000019,61.57254857,5,-68.76701095,46.83225653
9,11,34400,EH,11.39999962,57.93571113,5,-68.76701095,46.83225653
9,11,35000,EH,10.80000019,56.31838929,5,-68.76701095,46.83225653
9,11,41800,EH,18.39999962,74.64852664,5,-68.76701095,46.83225653
9,11,42300,EH,12.39999962,60.55177661,5,-68.76701095,46.83225653
9,11,53300,EH,15.60000038,68.36529981,5,-68.76701095,46.83225653
9,11,55100,EH,17.29999924,72.23300049,5,-68.76701095,46.83225653
9,11,61600,EH,15,66.95719036,5,-68.76701095,46.83225653
9,11,62300,EH,16.29999924,69.97887304,5,-68.76701095,46.83225653
9,11,63900,EH,14.30000019,65.28329766,5,-68.76701095,46.83225653
9,11,71700,EH,15.39999962,67.89856831,5,-68.76701095,46.83225653
9,11,99,EH,1,17.89800063,50,-68.76701095,46.83225653
9,11,99,EH,3,29.5182474,20,-68.76701095,46.83225653
9,11,85200,EH,11.80000019,58.99357314,5,-68.76701095,46.83225653
9,11,99,EH,1,17.89800063,50,-68.76701095,46.83225653
9,11,99,EH,1,17.89800063,50,-68.76701095,46.83225653
9,11,99,EH,1,17.89800063,50,-68.76701095,46.83225653
9,11,99,EH,1,17.89800063,50,-68.76701095,46.83225653
9,11,99,EH,2,24.36821262,50,-68.76701095,46.83225653
9,11,99,EH,2,24.36821262,50,-68.76701095,46.83225653
9,11,99,EH,1,17.89800063,50,-68.76701095,46.83225653
9,11,99,EH,1,17.89800063,50,-68.76701095,46.83225653
9,11,99,EH,2,24.36821262,50,-68.76701095,46.83225653
9,11,99,EH,2,24.36821262,50,-68.76701095,46.83225653
9,11,99,EH,3,29.5182474,20,-68.76701095,46.83225653
9,11,99,EH,3,29.5182474,20,-68.76701095,46.83225653
9,11,99,EH,4,33.96304328,20,-68.76701095,46.83225653
9,11,34000,EH,4.5,36.00322151,5,-68.76701095,46.83225653
9,11,52800,EH,7.300000191,45.97544133,5,-68.76701095,46.83225653
9,11,14500,EH,12.60000038,61.06391198,5,-68.76701095,46.83225653
9,13,99,BF,1,17.89800063,50,-68.6483585,46.5593821
9,13,33100,BF,5.800000191,40.89203517,5,-68.6483585,46.5593821
9,13,95000,BF,9.5,52.67497173,5,-68.6483585,46.5593821
9,13,99,BF,3,29.5182474,20,-68.6483585,46.5593821
9,13,99,BF,3,29.5182474,20,-68.6483585,46.5593821
9,13,99,BF,3,29.5182474,20,-68.6483585,46.5593821
9,13,99,BF,3,29.5182474,20,-68.6483585,46.5593821
9,13,95100,BF,7.599999905,46.9359095,5,-68.6483585,46.5593821
9,13,99,BF,1,17.89800063,50,-68.6483585,46.5593821
9,13,99,BF,1,17.89800063,50,-68.6483585,46.5593821
9,13,99,BF,1,17.89800063,50,-68.6483585,46.5593821
9,13,99,BF,1,17.89800063,50,-68.6483585,46.5593821
9,13,99,BF,1,17.89800063,50,-68.6483585,46.5593821
9,13,99,BF,2,24.36821262,50,-68.6483585,46.5593821
9,13,99,BF,2,24.36821262,50,-68.6483585,46.5593821
9,13,99,BF,4,33.96304328,20,-68.6483585,46.5593821
9,13,99,BF,4,33.96304328,20,-68.6483585,46.5593821
9,13,5000,BF,5.699999809,40.53402607,5,-68.6483585,46.5593821
9,13,15100,BF,4.599999905,36.39928465,5,-68.6483585,46.5593821
9,13,33000,BF,6.699999809,44.00186078,5,-68.6483585,46.5593821
9,13,64800,BF,6.900000095,44.66789162,5,-68.6483585,46.5593821
9,13,72700,BF,4.599999905,36.39928465,5,-68.6483585,46.5593821
9,13,72800,BF,4.699999809,36.79164909,5,-68.6483585,46.5593821
9,13,81900,BF,5.699999809,40.53402607,5,-68.6483585,46.5593821
9,13,94500,BF,5.5,39.80977851,5,-68.6483585,46.5593821
9,13,94800,BF,6.599999905,43.66563055,5,-68.6483585,46.5593821
9,13,42500,BF,5.699999809,40.53402607,5,-68.6483585,46.5593821
9,13,99,BF,1,17.89800063,50,-68.6483585,46.5593821
9,13,99,BF,1,17.89800063,50,-68.6483585,46.5593821
9,13,99,BF,1,17.89800063,50,-68.6483585,46.5593821
9,13,82600,BF,5.400000095,39.44339556,5,-68.6483585,46.5593821
9,13,84700,BF,9.699999809,53.24890012,5,-68.6483585,46.5593821
9,13,85200,BF,4.900000095,37.56572668,5,-68.6483585,46.5593821
9,13,94200,BF,4.900000095,37.56572668,5,-68.6483585,46.5593821
9,13,94400,BF,6.900000095,44.66789162,5,-68.6483585,46.5593821
9,13,99,WP,1,17.89800063,50,-68.6483585,46.5593821
9,13,99,WP,3,29.5182474,20,-68.6483585,46.5593821
9,13,14500,WP,6.199999809,42.29815291,5,-68.6483585,46.5593821
9,13,54300,WP,5.599999905,40.1732977,5,-68.6483585,46.5593821
9,13,61700,WP,4.699999809,36.79164909,5,-68.6483585,46.5593821
9,13,41800,RM,6.5,43.3271945,5,-68.6483585,46.5593821
9,13,43400,RM,6.5,43.3271945,5,-68.6483585,46.5593821
9,13,54700,RM,11.69999981,58.7305769,5,-68.6483585,46.5593821
9,13,24700,RM,5.900000095,41.24738848,5,-68.6483585,46.5593821
